file,speaker_id,language,label,generator,source,split
data/corpus/genuine/eng_gen_spk_01.wav,ENG_GEN_SPK_01,en,0,human,librispeech,train
data/corpus/genuine/eng_gen_spk_02.wav,ENG_GEN_SPK_02,en,0,human,librispeech,train
data/corpus/genuine/eng_gen_spk_03.wav,ENG_GEN_SPK_03,en,0,human,librispeech,train
data/corpus/genuine/eng_gen_spk_04.wav,ENG_GEN_SPK_04,en,0,human,librispeech,train
data/corpus/genuine/eng_gen_spk_05.wav,ENG_GEN_SPK_05,en,0,human,librispeech,train
data/corpus/genuine/eng_gen_spk_06.wav,ENG_GEN_SPK_06,en,0,human,librispeech,train
data/corpus/genuine/eng_gen_spk_07.wav,ENG_GEN_SPK_07,en,0,human,librispeech,val
data/corpus/genuine/eng_gen_spk_08.wav,ENG_GEN_SPK_08,en,0,human,librispeech,val
data/corpus/genuine/eng_gen_spk_09.wav,ENG_GEN_SPK_09,en,0,human,librispeech,test
data/corpus/genuine/eng_gen_spk_10.wav,ENG_GEN_SPK_10,en,0,human,librispeech,test
data/corpus/spoof/eng_lpc_spk_01.wav,ENG_LPC_SPK_01,en,1,LPC,lpc_vocoder,train
data/corpus/spoof/eng_lpc_spk_02.wav,ENG_LPC_SPK_02,en,1,LPC,lpc_vocoder,train
data/corpus/spoof/eng_lpc_spk_03.wav,ENG_LPC_SPK_03,en,1,LPC,lpc_vocoder,train
data/corpus/spoof/eng_lpc_spk_04.wav,ENG_LPC_SPK_04,en,1,LPC,lpc_vocoder,train
data/corpus/spoof/eng_lpc_spk_05.wav,ENG_LPC_SPK_05,en,1,LPC,lpc_vocoder,train
data/corpus/spoof/eng_lpc_spk_06.wav,ENG_LPC_SPK_06,en,1,LPC,lpc_vocoder,train
data/corpus/spoof/eng_lpc_spk_07.wav,ENG_LPC_SPK_07,en,1,LPC,lpc_vocoder,val
data/corpus/spoof/eng_lpc_spk_08.wav,ENG_LPC_SPK_08,en,1,LPC,lpc_vocoder,val
data/corpus/spoof/eng_lpc_spk_09.wav,ENG_LPC_SPK_09,en,1,LPC,lpc_vocoder,test
data/corpus/spoof/eng_lpc_spk_10.wav,ENG_LPC_SPK_10,en,1,LPC,lpc_vocoder,test
data/corpus/spoof/vits_en_spk_01.wav,S_VITS_01,en,1,VITS,huggingface_vits_mms,train
data/corpus/spoof/vits_en_spk_02.wav,S_VITS_02,en,1,VITS,huggingface_vits_mms,train
data/corpus/spoof/vits_en_spk_03.wav,S_VITS_03,en,1,VITS,huggingface_vits_mms,train
data/corpus/spoof/vits_en_spk_04.wav,S_VITS_04,en,1,VITS,huggingface_vits_mms,train
data/corpus/spoof/vits_en_spk_05.wav,S_VITS_05,en,1,VITS,huggingface_vits_mms,val
data/corpus/spoof/vits_en_spk_06.wav,S_VITS_06,en,1,VITS,huggingface_vits_mms,test
data/corpus/spoof/en_gtts_spk_01.wav,EN_GTTS_SPK_01,en,1,gTTS,google_neural_tts,train
data/corpus/spoof/en_gtts_spk_02.wav,EN_GTTS_SPK_02,en,1,gTTS,google_neural_tts,train
data/corpus/spoof/en_gtts_spk_03.wav,EN_GTTS_SPK_03,en,1,gTTS,google_neural_tts,train
data/corpus/spoof/en_gtts_spk_04.wav,EN_GTTS_SPK_04,en,1,gTTS,google_neural_tts,val
data/corpus/spoof/en_gtts_spk_05.wav,EN_GTTS_SPK_05,en,1,gTTS,google_neural_tts,test
data/corpus/spoof/en_gtts_spk_06.wav,EN_GTTS_SPK_06,en,1,gTTS,google_neural_tts,test
data/corpus/spoof/hi_gtts_spk_01.wav,HI_GTTS_SPK_01,hi,1,gTTS,google_neural_tts,train
data/corpus/spoof/hi_gtts_spk_02.wav,HI_GTTS_SPK_02,hi,1,gTTS,google_neural_tts,train
data/corpus/spoof/hi_gtts_spk_03.wav,HI_GTTS_SPK_03,hi,1,gTTS,google_neural_tts,train
data/corpus/spoof/hi_gtts_spk_04.wav,HI_GTTS_SPK_04,hi,1,gTTS,google_neural_tts,val
data/corpus/spoof/hi_gtts_spk_05.wav,HI_GTTS_SPK_05,hi,1,gTTS,google_neural_tts,test
data/corpus/spoof/hi_gtts_spk_06.wav,HI_GTTS_SPK_06,hi,1,gTTS,google_neural_tts,test
data/corpus/spoof/mr_gtts_spk_01.wav,MR_GTTS_SPK_01,mr,1,gTTS,google_neural_tts,train
data/corpus/spoof/mr_gtts_spk_02.wav,MR_GTTS_SPK_02,mr,1,gTTS,google_neural_tts,train
data/corpus/spoof/mr_gtts_spk_03.wav,MR_GTTS_SPK_03,mr,1,gTTS,google_neural_tts,train
data/corpus/spoof/mr_gtts_spk_04.wav,MR_GTTS_SPK_04,mr,1,gTTS,google_neural_tts,val
data/corpus/spoof/mr_gtts_spk_05.wav,MR_GTTS_SPK_05,mr,1,gTTS,google_neural_tts,test
data/corpus/spoof/mr_gtts_spk_06.wav,MR_GTTS_SPK_06,mr,1,gTTS,google_neural_tts,test
data/corpus/spoof/mac_en_alex_spk.wav,S_MAC_01,en,1,macOS_Native,apple_speech_synth,train
data/corpus/spoof/mac_en_samantha_spk.wav,S_MAC_02,en,1,macOS_Native,apple_speech_synth,train
data/corpus/spoof/mac_en_karen_spk.wav,S_MAC_03,en,1,macOS_Native,apple_speech_synth,train
data/corpus/spoof/mac_en_veena_spk.wav,S_MAC_04,en,1,macOS_Native,apple_speech_synth,train
data/corpus/spoof/mac_hi_rishi_spk.wav,S_MAC_05,hi,1,macOS_Native,apple_speech_synth,val
data/corpus/spoof/mac_hi_lekha_spk.wav,S_MAC_06,hi,1,macOS_Native,apple_speech_synth,test
data/failed_ai_voice.mp3,S_UNSEEN_AI_01,en,1,Unseen_Neural_TTS,user_failed_case,unseen_test
data/ai_sample2.mp3,S_UNSEEN_AI_02,en,1,Unseen_Neural_TTS,user_failed_case,unseen_test
